□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200701 ~ 20200731,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 전라북도,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
전라북도 전주덕진구 반월동,1230,1230,0,월드컵이지움,59.8796,202007,20,"15,900",15,2015,반월로 32
전라북도 전주덕진구 반월동,1230,1230,0,월드컵이지움,59.8796,202007,27,"13,800",4,2015,반월로 32
전라북도 전주덕진구 반월동,1232,1232,0,전주 반월동 남해오네뜨 하이뷰,59.8307,202007,7,"17,800",22,2018,쪽구름로 111
전라북도 전주덕진구 반월동,1232,1232,0,전주 반월동 남해오네뜨 하이뷰,59.8307,202007,7,"17,500",15,2018,쪽구름로 111
전라북도 전주덕진구 반월동,1232,1232,0,전주 반월동 남해오네뜨 하이뷰,59.8307,202007,8,"17,400",17,2018,쪽구름로 111
전라북도 전주덕진구 반월동,1232,1232,0,전주 반월동 남해오네뜨 하이뷰,59.8307,202007,18,"18,500",22,2018,쪽구름로 111
전라북도 전주덕진구 송천동1가,108,108,0,광진한솔,59.97,202007,19,"8,000",12,1994,솔내8길 25
전라북도 전주덕진구 송천동1가,417,417,0,"라이프1,2동",84.85,202007,6,"10,000",13,1991,송천2길 25
전라북도 전주덕진구 송천동1가,417,417,0,"라이프1,2동",84.85,202007,9,"12,000",7,1991,송천2길 25
전라북도 전주덕진구 송천동1가,417-8,417,8,라이프3동,84.65,202007,16,"8,000",4,1991,송천2길 25
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9879,202007,2,"22,000",13,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9879,202007,4,"23,200",4,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9241,202007,4,"24,300",14,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9879,202007,8,"23,000",9,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9879,202007,8,"23,700",9,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9241,202007,11,"26,500",14,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9241,202007,15,"26,000",14,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9241,202007,20,"25,800",6,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.93,202007,25,"21,700",2,2013,송천3길 55
전라북도 전주덕진구 송천동1가,873,873,0,벽산e-리버파크,84.9241,202007,28,"24,300",6,2013,송천3길 55
전라북도 전주덕진구 송천동1가,464,464,0,비사벌(464),59.85,202007,14,"8,500",2,1987,송천2길 20
전라북도 전주덕진구 송천동1가,464,464,0,비사벌(464),59.85,202007,18,"6,100",4,1987,송천3길 24
전라북도 전주덕진구 송천동1가,464,464,0,비사벌(464),57.96,202007,22,"7,500",3,1987,송천2길 18
전라북도 전주덕진구 송천동1가,464,464,0,비사벌(464),59.85,202007,23,"7,900",2,1987,송천2길 20
전라북도 전주덕진구 송천동1가,472-31,472,31,비사벌(472-31),49.95,202007,6,"4,500",5,1988,송천2길 9
전라북도 전주덕진구 송천동1가,472-31,472,31,비사벌(472-31),49.95,202007,23,"5,300",4,1988,송천2길 9
전라북도 전주덕진구 송천동1가,329,329,0,서호2차,84.93,202007,13,"16,000",7,1995,송천로 43
전라북도 전주덕진구 송천동1가,329,329,0,서호2차,84.93,202007,24,"14,300",13,1995,송천로 43
전라북도 전주덕진구 송천동1가,543-2,543,2,성원무지개,59.94,202007,1,"6,300",1,1988,용소로 100
전라북도 전주덕진구 송천동1가,543-2,543,2,성원무지개,59.94,202007,10,"6,900",4,1988,용소로 100
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.912,202007,4,"36,200",7,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.913,202007,4,"33,000",2,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.912,202007,5,"33,300",2,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.913,202007,7,"36,900",6,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.913,202007,9,"35,900",8,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.913,202007,9,"36,500",12,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.907,202007,9,"35,850",4,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.907,202007,10,"38,000",13,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.913,202007,10,"37,500",8,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,879,879,0,송천 KCC스위첸,84.913,202007,18,"37,700",10,2016,오송1길 37-17
전라북도 전주덕진구 송천동1가,138-5,138,5,송천4차현대,99.98,202007,26,"21,500",2,1998,솔내로 120
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,1,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,4,"29,578",4,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,4,"29,578",4,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,6,"29,578",4,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.6566,202007,6,"29,934",11,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,6,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.6566,202007,6,"28,434",1,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,7,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,9,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,13,"29,578",4,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,13,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,14,"29,578",4,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,14,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,15,"29,578",12,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,15,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,17,"29,575",8,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,20,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,20,"29,578",4,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,21,"29,578",5,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,23,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,23,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,25,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,27,"28,078",1,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,27,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,27,"30,500",15,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,28,"29,578",7,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,29,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,30,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"29,578",12,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"29,578",14,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"28,578",2,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"29,578",17,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"29,578",7,2019,용소로 112
전라북도 전주덕진구 송천동1가,880,880,0,송천광신프로그레스,84.8293,202007,31,"29,078",3,2019,용소로 112
전라북도 전주덕진구 송천동1가,292-7,292,7,송천동센트럴파크1단지,112.9458,202007,6,"30,500",8,2008,송천로 1
전라북도 전주덕진구 송천동1가,292-7,292,7,송천동센트럴파크1단지,143.7874,202007,6,"35,000",11,2008,송천로 1
전라북도 전주덕진구 송천동1가,292-7,292,7,송천동센트럴파크1단지,112.9458,202007,9,"30,000",7,2008,송천로 1
전라북도 전주덕진구 송천동1가,292-7,292,7,송천동센트럴파크1단지,101.0869,202007,16,"30,000",5,2008,송천로 1
전라북도 전주덕진구 송천동1가,292-7,292,7,송천동센트럴파크1단지,101.0869,202007,16,"30,000",5,2008,송천로 1
전라북도 전주덕진구 송천동1가,308-1,308,1,송천동센트럴파크2단지,117.1478,202007,1,"35,500",8,2008,호반로 11
전라북도 전주덕진구 송천동1가,308-1,308,1,송천동센트럴파크2단지,84.8074,202007,28,"28,000",14,2008,호반로 11
전라북도 전주덕진구 송천동1가,117,117,0,송천동우림,84.855,202007,8,"16,000",11,1996,솔내9길 7
전라북도 전주덕진구 송천동1가,117,117,0,송천동우림,73.575,202007,13,"11,000",7,1996,솔내9길 7
전라북도 전주덕진구 송천동1가,117,117,0,송천동우림,59.835,202007,24,"8,500",3,1996,솔내9길 7
전라북도 전주덕진구 송천동1가,117,117,0,송천동우림,59.835,202007,31,"9,800",18,1996,솔내9길 7
전라북도 전주덕진구 송천동1가,101-3,101,3,송천신일,59.9,202007,5,"8,250",18,1993,솔내로 142
전라북도 전주덕진구 송천동1가,101-3,101,3,송천신일,84.99,202007,8,"15,200",9,1993,솔내로 142
전라북도 전주덕진구 송천동1가,870,870,0,송천아이파크5단지,126.5005,202007,4,"42,750",7,2009,오송로 45
전라북도 전주덕진구 송천동1가,870,870,0,송천아이파크5단지,183.7927,202007,5,"55,500",7,2009,오송로 45
전라북도 전주덕진구 송천동1가,870,870,0,송천아이파크5단지,101.8963,202007,6,"39,000",7,2009,오송로 45
전라북도 전주덕진구 송천동1가,870,870,0,송천아이파크5단지,101.8963,202007,8,"37,400",5,2009,오송로 45
전라북도 전주덕진구 송천동1가,870,870,0,송천아이파크5단지,183.7927,202007,15,"55,000",11,2009,오송로 45
전라북도 전주덕진구 송천동1가,871,871,0,송천아이파크6단지,101.8963,202007,7,"38,500",6,2009,오송로 47
전라북도 전주덕진구 송천동1가,871,871,0,송천아이파크6단지,126.5005,202007,15,"43,000",9,2009,오송로 47
전라북도 전주덕진구 송천동1가,871,871,0,송천아이파크6단지,101.8963,202007,27,"40,000",8,2009,오송로 47
전라북도 전주덕진구 송천동1가,806,806,0,송천자이,84.9896,202007,7,"26,000",13,2006,두간6길 10
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,155.7268,202007,1,"36,500",4,2008,천마산로 100
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,84.9707,202007,3,"28,400",13,2008,천마산로 100
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,84.9707,202007,3,"28,000",9,2008,천마산로 100
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,155.7268,202007,4,"37,500",10,2008,천마산로 100
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,121.9526,202007,9,"35,700",5,2008,천마산로 100
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,84.9707,202007,11,"31,000",12,2008,천마산로 100
전라북도 전주덕진구 송천동1가,12월 10일,12,10,송천진흥더블파크,84.9707,202007,29,"30,900",12,2008,천마산로 100
전라북도 전주덕진구 송천동1가,179-28,179,28,영창,59.85,202007,23,"6,000",5,1993,솔내1길 76
전라북도 전주덕진구 송천동1가,179-28,179,28,영창,59.85,202007,29,"7,000",10,1993,솔내1길 76
전라북도 전주덕진구 송천동1가,123-12,123,12,영창드림맨션,59.82,202007,17,"12,200",15,1997,솔내6길 7
전라북도 전주덕진구 송천동1가,123-12,123,12,영창드림맨션,99.12,202007,18,"17,800",3,1997,솔내6길 7
전라북도 전주덕진구 송천동1가,123-12,123,12,영창드림맨션,84.9,202007,31,"14,700",14,1997,솔내6길 7
전라북도 전주덕진구 송천동1가,626-3,626,3,용소마을제일,84.969,202007,3,"15,000",11,1999,송천3길 50
전라북도 전주덕진구 송천동1가,626-3,626,3,용소마을제일,99.84,202007,4,"16,000",2,1999,송천3길 50
전라북도 전주덕진구 송천동1가,626-3,626,3,용소마을제일,99.84,202007,15,"17,000",8,1999,송천3길 50
전라북도 전주덕진구 송천동1가,690,690,0,천일강변임대,59.976,202007,3,"7,900",5,1998,시천로 7
전라북도 전주덕진구 송천동1가,805,805,0,케이제이라미안,102.8716,202007,6,"23,000",1,2006,두간6길 9
전라북도 전주덕진구 송천동1가,605-4,605,4,한양,116.725,202007,11,"13,000",3,1993,가리내로 550
전라북도 전주덕진구 송천동1가,605-4,605,4,한양,116.725,202007,14,"13,500",8,1993,가리내로 550
전라북도 전주덕진구 송천동1가,605-4,605,4,한양,84.63,202007,16,"10,000",3,1993,가리내로 550
전라북도 전주덕진구 송천동1가,605-4,605,4,한양,75.18,202007,24,"8,800",13,1993,가리내로 550
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),59.97,202007,4,"14,000",18,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),75.12,202007,6,"18,300",5,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),59.97,202007,7,"12,450",9,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),75.12,202007,9,"16,200",15,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),84.96,202007,10,"18,200",2,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),84.96,202007,14,"20,000",5,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),84.96,202007,20,"21,000",17,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),59.97,202007,21,"11,000",1,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),59.97,202007,30,"15,500",15,1997,솔내로 124
전라북도 전주덕진구 송천동1가,141,141,0,현대(2차),75.12,202007,31,"16,400",9,1997,솔내로 124
전라북도 전주덕진구 송천동2가,530-3,530,3,대명궁궐,59.49,202007,14,"7,500",5,1992,용소로 53
전라북도 전주덕진구 송천동2가,530-3,530,3,대명궁궐,59.49,202007,20,"6,100",9,1992,시천로 43
전라북도 전주덕진구 송천동2가,530-3,530,3,대명궁궐,59.49,202007,28,"7,500",10,1992,시천로 43
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,59.4,202007,5,"7,850",4,1985,와룡2길 14
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,47.82,202007,7,"7,200",3,1985,시천로 83
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,59.4,202007,8,"8,500",4,1985,와룡2길 14
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,59.4,202007,13,"8,500",2,1985,와룡2길 14
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,47.82,202007,18,"7,500",1,1985,시천로 83
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,47.82,202007,19,"7,350",2,1985,시천로 83
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,47.82,202007,21,"7,000",3,1985,시천로 83
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,47.82,202007,21,"7,100",2,1985,시천로 83
전라북도 전주덕진구 송천동2가,561-1,561,1,롯데,47.82,202007,23,"7,500",3,1985,시천로 83
전라북도 전주덕진구 송천동2가,193-3,193,3,산내들임대,23.79,202007,7,"3,500",7,2000,천마산로 11
전라북도 전주덕진구 송천동2가,193-3,193,3,산내들임대,23.79,202007,21,"3,000",2,2000,천마산로 11
전라북도 전주덕진구 송천동2가,561-24,561,24,솔내마을동아,84.952,202007,6,"14,700",2,1999,와룡2길 7
전라북도 전주덕진구 송천동2가,1290,1290,0,송천 신동아 파밀리에,84.8772,202007,6,"23,300",1,2015,두간4길 14
전라북도 전주덕진구 송천동2가,1290,1290,0,송천 신동아 파밀리에,84.8772,202007,25,"23,900",5,2015,두간4길 14
전라북도 전주덕진구 송천동2가,541-2,541,2,송천동1차쌍용,59.8,202007,4,"9,900",2,1997,와룡로 40
전라북도 전주덕진구 송천동2가,1221,1221,0,송천시영,49.94,202007,3,"6,400",14,1994,와룡로 100
전라북도 전주덕진구 송천동2가,1221,1221,0,송천시영,49.94,202007,9,"7,400",13,1994,와룡로 100
전라북도 전주덕진구 송천동2가,1221,1221,0,송천시영,49.94,202007,13,"5,500",15,1994,와룡로 100
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,2,"11,500",13,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,2,"10,100",12,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,3,"11,200",3,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,4,"10,300",1,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,7,"12,000",6,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,8,"12,800",6,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,8,"11,700",10,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,9,"9,900",1,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,9,"9,600",1,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.84,202007,9,"12,500",4,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,9,"10,850",4,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.84,202007,9,"12,600",5,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,10,"12,300",12,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,11,"11,100",3,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,17,"12,000",11,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,22,"10,900",4,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,24,"9,800",2,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,29,"12,600",9,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,1268,1268,0,송천주공,59.99,202007,29,"12,600",8,1998,붓내3길 29
전라북도 전주덕진구 송천동2가,197-2,197,2,신동비사벌,39.96,202007,1,"5,500",3,1989,붓내1길 9
전라북도 전주덕진구 송천동2가,197-12,197,12,신동비사벌(197-12),59.4,202007,1,"7,500",5,1993,송천중앙로 212
전라북도 전주덕진구 송천동2가,1304,1304,0,에코시티 더샵 3차,99.47,202007,15,"62,500",6,2019,세병로 136-1
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,59.9532,202007,3,"31,800",2,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,59.9532,202007,4,"33,800",15,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,84.9349,202007,4,"50,000",29,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,84.9011,202007,4,"48,000",22,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,59.9532,202007,4,"33,700",14,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,59.9532,202007,4,"33,900",11,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,84.9011,202007,4,"47,800",23,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,84.9349,202007,5,"48,500",4,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,59.9532,202007,9,"35,200",5,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,59.9532,202007,16,"36,000",11,2018,세병로 41
전라북도 전주덕진구 송천동2가,1311,1311,0,에코시티 데시앙 4블럭,84.9349,202007,16,"49,500",27,2018,세병로 41
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,98.6631,202007,2,"59,000",16,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9361,202007,4,"46,000",16,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,59.9532,202007,4,"34,300",13,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9361,202007,6,"45,000",14,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9477,202007,8,"49,800",20,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9011,202007,8,"47,500",26,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9349,202007,17,"45,000",2,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9477,202007,18,"41,800",8,2018,세병로 85
전라북도 전주덕진구 송천동2가,1309,1309,0,에코시티 데시앙 5블럭,84.9477,202007,20,"45,800",2,2018,세병로 85
전라북도 전주덕진구 송천동2가,1338,1338,0,에코시티더샵,84.97,202007,2,"42,000",2,2018,세병로 42
전라북도 전주덕진구 송천동2가,1338,1338,0,에코시티더샵,84.98,202007,4,"47,500",22,2018,세병로 42
전라북도 전주덕진구 송천동2가,1338,1338,0,에코시티더샵,84.65,202007,9,"47,900",16,2018,세병로 42
전라북도 전주덕진구 송천동2가,1338,1338,0,에코시티더샵,84.65,202007,10,"48,000",29,2018,세병로 42
전라북도 전주덕진구 송천동2가,1338,1338,0,에코시티더샵,84.53,202007,23,"47,000",11,2018,세병로 42
전라북도 전주덕진구 송천동2가,1338,1338,0,에코시티더샵,84.93,202007,30,"41,500",1,2018,세병로 42
전라북도 전주덕진구 송천동2가,1306,1306,0,에코시티더샵2차,84.93,202007,6,"35,000",7,2018,세병로 175
전라북도 전주덕진구 송천동2가,1306,1306,0,에코시티더샵2차,117.88,202007,14,"70,900",6,2018,세병로 175
전라북도 전주덕진구 송천동2가,1306,1306,0,에코시티더샵2차,117.9,202007,17,"71,500",4,2018,세병로 175
전라북도 전주덕진구 송천동2가,1300,1300,0,에코시티데시앙12블럭,84.9926,202007,4,"45,000",3,2019,백석로 145
전라북도 전주덕진구 송천동2가,1300,1300,0,에코시티데시앙12블럭,84.9926,202007,5,"48,000",16,2019,백석로 145
전라북도 전주덕진구 송천동2가,1343,1343,0,에코시티데시앙7블럭,59.9327,202007,3,"31,500",25,2019,세병로 112
전라북도 전주덕진구 송천동2가,1343,1343,0,에코시티데시앙7블럭,84.9926,202007,21,"37,000",17,2019,세병로 112
전라북도 전주덕진구 송천동2가,1308,1308,0,에코시티자이,84.9839,202007,3,"47,000",17,2017,세병로 111
전라북도 전주덕진구 송천동2가,1308,1308,0,에코시티자이,84.9839,202007,6,"44,500",8,2017,세병로 111
전라북도 전주덕진구 송천동2가,1308,1308,0,에코시티자이,84.9839,202007,22,"45,000",20,2017,세병로 111
전라북도 전주덕진구 송천동2가,1308,1308,0,에코시티자이,84.9839,202007,23,"44,000",10,2017,세병로 111
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,59.57,202007,2,"14,900",6,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,59.57,202007,4,"14,900",8,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,51.88,202007,6,"11,500",1,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,59.57,202007,7,"12,700",1,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,51.88,202007,13,"14,100",6,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,59.57,202007,17,"13,850",4,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,59.57,202007,21,"15,200",8,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,59.57,202007,25,"15,000",6,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1280,1280,0,전주송천(2)주공11,51.88,202007,26,"12,200",1,2004,천마산로 33
전라북도 전주덕진구 송천동2가,1287,1287,0,전주송천동한라비발디1단지,84.99,202007,5,"33,300",6,2013,천마산로 113
