□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,
,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,
계약일자 : 20200701 ~ 20200731,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,
시도 : 전라북도,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
전라북도 군산시 나운동,100-11,100,11,롯데3차,74.025,202007,14,"8,900",9,1994,하나운로 48
전라북도 군산시 나운동,100-11,100,11,롯데3차,84.84,202007,22,"12,000",11,1994,하나운로 48
전라북도 군산시 나운동,100-11,100,11,롯데3차,84.84,202007,31,"8,700",1,1994,하나운로 48
전라북도 군산시 나운동,155-6,155,6,롯데4차,99.94,202007,18,"16,600",7,1996,백토로 242
전라북도 군산시 나운동,153-11,153,11,비사벌,59.91,202007,6,"7,500",9,1997,하나운로 7
전라북도 군산시 나운동,153-11,153,11,비사벌,59.91,202007,15,"7,200",11,1997,하나운로 7
전라북도 군산시 나운동,153-11,153,11,비사벌,59.91,202007,20,"7,000",7,1997,하나운로 7
전라북도 군산시 나운동,401,401,0,삼성,114.99,202007,15,"20,400",12,1998,나운3길 9
전라북도 군산시 나운동,153-12,153,12,서호,84.99,202007,1,"13,000",12,1995,의료원로 188
전라북도 군산시 나운동,153-12,153,12,서호,84.99,202007,14,"11,300",5,1995,의료원로 188
전라북도 군산시 나운동,155,155,0,세경,53.82,202007,3,"5,300",3,2002,하나운로 28
전라북도 군산시 나운동,155,155,0,세경,53.82,202007,11,"5,000",9,2002,하나운로 28
전라북도 군산시 나운동,155,155,0,세경,53.82,202007,23,"5,250",4,2002,하나운로 28
전라북도 군산시 나운동,155,155,0,세경,53.82,202007,29,"5,000",12,2002,하나운로 28
전라북도 군산시 나운동,155,155,0,세경,53.82,202007,31,"4,900",14,2002,하나운로 28
전라북도 군산시 나운동,1525,1525,0,수송금호어울림,84.9362,202007,1,"23,000",19,2008,서수송2길 23
전라북도 군산시 나운동,1525,1525,0,수송금호어울림,84.9548,202007,3,"20,300",19,2008,서수송2길 23
전라북도 군산시 나운동,1526,1526,0,수송코아루,59.6174,202007,7,"16,200",5,2009,축동로 83
전라북도 군산시 나운동,1526,1526,0,수송코아루,59.6174,202007,9,"17,300",18,2009,축동로 83
전라북도 군산시 나운동,1526,1526,0,수송코아루,59.6174,202007,18,"16,500",19,2009,축동로 83
전라북도 군산시 나운동,1526,1526,0,수송코아루,59.6174,202007,22,"15,500",13,2009,축동로 83
전라북도 군산시 나운동,156-6,156,6,"영창(1,2동)",59.94,202007,8,"11,000",14,1995,의료원로 137
전라북도 군산시 나운동,156-6,156,6,"영창(1,2동)",59.94,202007,15,"12,000",14,1995,의료원로 137
전라북도 군산시 나운동,156-3,156,3,"영창(3,5,6동)",39.33,202007,2,"4,400",8,1995,의료원로 147
전라북도 군산시 나운동,156-3,156,3,"영창(3,5,6동)",59.82,202007,28,"5,700",8,1995,의료원로 147
전라북도 군산시 나운동,155-7,155,7,우성,99.96,202007,2,"12,650",11,1995,백토로 230
전라북도 군산시 나운동,155-7,155,7,우성,93.56,202007,15,"12,200",9,1995,백토로 230
전라북도 군산시 나운동,555-1,555,1,우진,55.48,202007,2,"5,000",2,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,2,"4,950",3,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,65.78,202007,3,"5,300",1,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,6,"5,800",1,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,6,"5,000",5,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,8,"4,800",3,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,8,"5,100",4,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.48,202007,9,"3,000",3,1979,하신재길 18
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,9,"5,200",5,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,9,"4,900",3,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,9,"5,900",3,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,65.78,202007,10,"5,650",2,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,10,"5,100",1,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,16,"4,500",5,1979,하신재길 19
전라북도 군산시 나운동,555-1,555,1,우진,55.36,202007,18,"5,500",5,1979,하신재길 19
전라북도 군산시 나운동,866-1,866,1,유원,84.96,202007,11,"7,300",6,1990,부곡1길 39
전라북도 군산시 나운동,866-1,866,1,유원,65.1,202007,13,"5,200",12,1990,부곡1길 39
전라북도 군산시 나운동,866-1,866,1,유원,84.96,202007,13,"6,500",11,1990,부곡1길 39
전라북도 군산시 나운동,866-1,866,1,유원,84.96,202007,29,"6,800",4,1990,부곡1길 39
전라북도 군산시 나운동,835,835,0,주공3차,54.12,202007,1,"9,800",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,54.77,202007,1,"9,700",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.99,202007,1,"12,200",3,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,65.99,202007,1,"12,500",2,1983,하나운안1길 40
전라북도 군산시 나운동,835,835,0,주공3차,55.8,202007,2,"9,800",2,1983,하나운안1길 40
